Url|标题|时间|介绍|公司|所属行业|子行业|地区|轮次|融资额|股权占比|投资方
https://www.itjuzi.com/investevents/10369|在线电子超市BigBasket获5000万美元C轮融资|2015.8.13|Bigbasket.com成立于2011年10月，是印度一家在线电子超市，旨在方便人们日常的购物需求。近日Bigbasket获5000万美元新一轮投资，由BessemerVenture领投，此次融资用于在印度本土的扩张。|Bigbasket.com|本地生活|生活综合服务|亚洲·印度|C轮|5000万美元|未透露|BessemerVenturePartners
https://www.itjuzi.com/investevents/10372|计算机图形技术公司Lightricks获1000万美元投资|2015.8.13|Lightricks是一家致力于计算机图形学、图像处理、机器学习和人工智能等方向的以色列初创企业。近日Lightricks获1000万美元投资。|Lightricks|移动互联网|工具类应用|亚洲·以色列|战略投资|1000万美元|未透露|CarmelVentures
https://www.itjuzi.com/investevents/10377|资产管理软件服务提供商G5获得7600万美元风险投资|2015.8.13|G5主要为资产管理机构提供数字经验管理软件，旗下产品DXM营销云让用户用更少的成本获得一流的体验，深入理解消费者偏好，增加营业收入。近日G5获得7600万美元风险投资，投资方为Peakequity。|G5|企业服务|销售营销|北美洲·美国|战略投资|7600万美元|未透露|
https://www.itjuzi.com/investevents/10379|新媒体服务商VoxMedia获2亿美元私募投资|2015.8.13|VoxMedia成立于2003年，是一家新媒体服务商及网络媒体出版商，旗下拥有科技新闻网站Verge、体育博客SBNation等。近日VoxMedia获2亿美元私募投资，NBC环球领投。|VoxMedia|文化娱乐体育|多媒体|北美洲·美国|战略投资|2亿美元|未透露|NBCNews
https://www.itjuzi.com/investevents/10358|医疗机器探针技术公司XACTRobotics获500万美元融资|2015.8.12|XACTRobotics是一家致力于研发用机器探针来协助活组织检查和切除等微创手术的初创公司。近日该公司获得500万美元风险投资，投资方为MEDXVenturesGroup。|XACTRobotics|医疗健康|医生服务|国外·0|战略投资|500万美元|未透露|
https://www.itjuzi.com/investevents/10362|无人机障碍躲避技术研发室Percepto获得100万美金种子投资|2015.8.12|Percepto是一家以色列创业公司，致力于开发让无人机具备避障等图像识别能力的软硬件解决方案。目前，Percepto获得100万美金种子投资，MarkCuban、RichardParsons、徐小平等联合投资。|Percepto|硬件|飞行器|亚洲·以色列|种子轮|100万美元|未透露|真格基金
https://www.itjuzi.com/investevents/10359|芬兰股权融资平台Invesdor获100万欧元新一轮融资|2015.8.12|Invesdor为众筹客户提供投资建议、订单管理和相关的金融服务。近日Invesdor获1000万欧元新一轮融资。|Invesdor|金融|众筹合投|国外·0|战略投资|100万欧元|未透露|
https://www.itjuzi.com/investevents/10630|跨境支付公司Payoneer获5000万美元E轮融资|2015.8.12|Payoneer是一家来自纽约的跨境支付解决方案服务商。近日Payoneer获5000万美元融资，投资方包括CarmelVentures，GreylockPartners，NycaPartners，PingAn，Susquehanna，GrowthEquity，WellingtonManagement。|Payoneer|金融|支付|北美洲·美国|E轮|5000万美元|未透露|CarmelVentures,GreylockPartners,NycaPartners
https://www.itjuzi.com/investevents/10357|IT咨询公司Infogain获6300万美元私募投资|2015.8.12|Infogain是一家商业导向的IT技术服务咨询公司，为高科技、零售、保险等垂直行业提供IT服务解决方案，服务包括客户支持、云服务、移动解决方案、质量管理与监测、商业智能等。近日该公司获得来自ChrysCapital等投资者6300万美元私募投资。|Infogain|企业服务|企业IT服务|国外·0|战略投资|6300万美元|未透露|
https://www.itjuzi.com/investevents/10335|餐饮管理软件公司Toast获300万美元新一轮融资|2015.8.11|Toast是一家餐饮管理软件公司，为餐饮企业、酒店等提供POS机和集成度高、定制性好的多平台餐饮管理软件。近日Toast获300万美元新一轮融资，投资方未知。|Toast.|企业服务|企业IT服务|欧洲·英国|战略投资|300万美元|未透露|
