Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/4031|2014.8.1|贷小秘|金融|北京|A轮|500万美元|晨兴资本
https://www.itjuzi.com/investevents/4768|2014.8.1|Sobug白帽众测|企业服务|广东|天使轮|数百万人民币|经纬中国
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/4941|2014.8.1|校导网|教育|湖北|天使轮|450万人民币|红石诚金
https://www.itjuzi.com/investevents/4096|2014.8.1|实验楼|教育|四川|天使轮|数百万人民币|真格基金
https://www.itjuzi.com/investevents/3464|2014.8.1|七牛云存储|企业服务|上海|C轮|数千万美元|宽带资本CBC,经纬中国,启明创投
https://www.itjuzi.com/investevents/3887|2014.8.1|中粮我买网|电子商务|北京|B轮|1亿美元|IDG资本,赛富基金
https://www.itjuzi.com/investevents/3890|2014.8.1|汇智游戏|游戏|广东|A轮|2000万人民币|友阿股份
https://www.itjuzi.com/investevents/3899|2014.8.1|哈哈拼车|汽车交通|北京|B轮|数千万美元|红杉资本中国,创新工场
https://www.itjuzi.com/investevents/3909|2014.8.1|易大师|游戏|广东|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/3910|2014.8.1|盈盈理财|金融|浙江|A轮|数千万美元|纪源资本GGV
https://www.itjuzi.com/investevents/3911|2014.8.1|阿姨来了|本地生活|北京|A轮|数百万美元|清科创投
https://www.itjuzi.com/investevents/3913|2014.8.1|婚礼纪|本地生活|浙江|A轮|数百万美元|祥峰投资Vertex
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/3919|2014.8.1|乐华娱乐|文化娱乐体育|北京|B轮|3亿人民币|华人文化产业基金
https://www.itjuzi.com/investevents/3931|2014.8.1|乐逗游戏iDreamSky创梦天地|游戏|广东|IPO上市|亿元及以上美元|投资方未透露
https://www.itjuzi.com/investevents/3932|2014.8.1|住百家|旅游|广东|A轮|数百万美元|联想之星
https://www.itjuzi.com/investevents/3939|2014.8.1|深圳巧贝科技|游戏|广东|天使轮|数百万人民币|NextBig三万弘合投资
https://www.itjuzi.com/investevents/3941|2014.8.1|用户宝|工具软件|上海|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/3951|2014.8.1|互动吧|工具软件|北京|A轮|数百万美元|联创策源
https://www.itjuzi.com/investevents/3952|2014.8.1|拉手网|本地生活|北京|D轮|未透露|麦顿投资,金沙江创投
https://www.itjuzi.com/investevents/3955|2014.8.1|一点租车|汽车交通|北京|A轮|1000万人民币|绵世股份/绵世投资
https://www.itjuzi.com/investevents/3959|2014.8.1|杭州同盾科技FraudMetrix|金融|浙江|A轮|1000万美元|宽带资本CBC,IDG资本
https://www.itjuzi.com/investevents/3960|2014.8.1|脉脉|SNS社交网络|北京|B轮|2000万美元|IDG资本,晨兴资本
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/3964|2014.8.1|赶集网|本地生活|北京|E轮|2亿美元|Tiger老虎基金(中国),凯雷亚洲基金
https://www.itjuzi.com/investevents/3970|2014.8.1|星图数据Syntun|企业服务|北京|A轮|数百万美元|投资方未透露
https://www.itjuzi.com/investevents/3987|2014.8.1|安华亿能|医疗健康|北京|A轮|数千万人民币|秉鸿资本
https://www.itjuzi.com/investevents/3988|2014.8.1|每日Q游戏|游戏|广东|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/3991|2014.8.1|橄榄公社APP|企业服务|北京|A轮|1000万人民币|IDG资本
https://www.itjuzi.com/investevents/3992|2014.8.1|辣妈汇|电子商务|浙江|A轮|9000万人民币|赛富基金,德同资本,中国远镜连锁成长基金
https://www.itjuzi.com/investevents/4011|2014.8.1|Rkylin瑞金麟|电子商务|北京|B轮|数千万人民币|维思资本
https://www.itjuzi.com/investevents/4014|2014.8.1|5U家庭医生|医疗健康|北京|A轮|数千万人民币|赛富基金,挚信资本
https://www.itjuzi.com/investevents/4015|2014.8.1|伯乐区|企业服务|北京|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/4018|2014.8.1|GoGoVan高高客货车|电子商务|香港|A轮|650万美元|投资方未透露
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/4020|2014.8.1|幸福9号商城|电子商务|上海|A轮|1亿人民币|浙商创投
https://www.itjuzi.com/investevents/4033|2014.8.1|云学堂|教育|江苏|A轮|数千万人民币|投资方未透露
https://www.itjuzi.com/investevents/4039|2014.8.1|洗爱车|汽车交通|北京|天使轮|数百万人民币|中路资本(中路集团)
https://www.itjuzi.com/investevents/4041|2014.8.1|拉勾网|企业服务|北京|B轮|2500万美元|启明创投,贝塔斯曼亚洲投资基金
https://www.itjuzi.com/investevents/4046|2014.8.1|酒仙网|电子商务|北京|F轮-上市前|3亿人民币|投资方未透露
https://www.itjuzi.com/investevents/4049|2014.8.1|跨考教育|教育|北京|B轮|3000万人民币|腾讯
https://www.itjuzi.com/investevents/4050|2014.8.1|99分期|金融|北京|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/4051|2014.8.1|会小二|企业服务|北京|A轮|数千万人民币|IDG资本
https://www.itjuzi.com/investevents/4058|2014.8.1|远程卫士|硬件|广东|A轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/4065|2014.8.1|芭乐传媒(芭乐互动)|文化娱乐体育|北京|B轮|1亿人民币|阿里巴巴,乐视网,TCL创投/TCL
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/4066|2014.8.1|旅行派|旅游|北京|天使轮|500万人民币|五岳天下资本
https://www.itjuzi.com/investevents/4067|2014.8.1|No装网|电子商务|北京|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/4068|2014.8.1|约你妹|SNS社交网络|北京|A轮|300万美元|投资方未透露
https://www.itjuzi.com/investevents/4069|2014.8.1|金山云|企业服务|北京|B轮|亿元及以上人民币|小米科技
https://www.itjuzi.com/investevents/4070|2014.8.1|乐融融网|房产服务|浙江|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/4071|2014.8.1|GMAT加分宝|教育|北京|A轮|300万美元|学而思/好未来,真格基金,Atlas Venture
https://www.itjuzi.com/investevents/4072|2014.8.1|速途网|文化娱乐体育|北京|A轮|3000万人民币|达晨创投
https://www.itjuzi.com/investevents/4105|2014.8.1|小麦公社|电子商务|北京|A轮|1000万美元|红杉资本中国
https://www.itjuzi.com/investevents/4106|2014.8.1|1018汽车俱乐部|汽车交通|北京|A轮|1000万人民币|投资方未透露
https://www.itjuzi.com/investevents/4108|2014.8.1|OnlyLover爱唯一|本地生活|北京|天使轮|100万美元|Crystal Stream清流资本
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/4116|2014.8.1|银河互联网电视|文化娱乐体育|北京|A轮|3000万人民币|投资方未透露
https://www.itjuzi.com/investevents/4128|2014.8.1|快捷酒店管家|旅游|上海|B轮|数千万美元|携程
https://www.itjuzi.com/investevents/4129|2014.8.1|拇指游玩科技|游戏|广东|A轮|3000万人民币|骅威科技
https://www.itjuzi.com/investevents/4130|2014.8.1|三个爸爸|硬件|北京|A轮|1000万美元|高榕资本Banyan Fund
https://www.itjuzi.com/investevents/4131|2014.8.1|微在WeZeit|文化娱乐体育|北京|A轮|数百万美元|挚信资本
https://www.itjuzi.com/investevents/4132|2014.8.1|元子|教育|北京|天使轮|1000万人民币|浙商创投
https://www.itjuzi.com/investevents/4144|2014.8.1|创新伙伴InnoBuddy|教育|北京|A轮|数千万美元|百度
https://www.itjuzi.com/investevents/4153|2014.8.1|巨杉软件SequoiaDB|企业服务|广东|天使轮|数百万人民币|极客帮创投
https://www.itjuzi.com/investevents/4156|2014.8.1|GTA国泰安|企业服务|广东|A轮|数千万人民币|深创投
