Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/3222|2014.5.1|聚胜万合MediaV|广告营销|上海|不明确|未透露|奇虎360
https://www.itjuzi.com/investevents/3223|2014.5.1|九枝兰|企业服务|北京|天使轮|数百万人民币|投资方未透露
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/3230|2014.5.1|美团网(新美大)|本地生活|北京|C轮|3亿美元|General Atlantic泛大西洋投资,红杉资本中国,阿里巴巴
https://www.itjuzi.com/investevents/3234|2014.5.1|成都掌娱天下|游戏|四川|B轮|9000万人民币|宝利来
https://www.itjuzi.com/investevents/3235|2014.5.1|南京根号三网络|SNS社交网络|江苏|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/3236|2014.5.1|美味七七|电子商务|上海|A轮|2000万美元|投资方未透露
https://www.itjuzi.com/investevents/3237|2014.5.1|WiFi共享精灵|工具软件|江苏|A轮|1000万美元|启明创投,隆领投资
https://www.itjuzi.com/investevents/3240|2014.5.1|球徒|文化娱乐体育|广东|天使轮|300万人民币|投资方未透露
https://www.itjuzi.com/investevents/3242|2014.5.1|好学教育|教育|北京|B轮|数千万人民币|投资方未透露
https://www.itjuzi.com/investevents/3246|2014.5.1|妈妈值得买(妈妈晒晒)|电子商务|北京|天使轮|数百万人民币|九合创投
https://www.itjuzi.com/investevents/3251|2014.5.1|Broadlink古北电子|硬件|浙江|B轮|1000万美元|奇虎360,京东
https://www.itjuzi.com/investevents/3253|2014.5.1|客房汇|房产服务|江苏|天使轮|数百万人民币|投资方未透露
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/3265|2014.5.1|金融港|金融|广东|A轮|1000万美元|红杉资本中国
https://www.itjuzi.com/investevents/3266|2014.5.1|金斧子|金融|广东|A轮|1000万美元|红杉资本中国
https://www.itjuzi.com/investevents/3276|2014.5.1|摩点网|文化娱乐体育|北京|天使轮|1000万人民币|触控科技,真格基金,华谊兄弟
https://www.itjuzi.com/investevents/3277|2014.5.1|全峰快递|电子商务|北京|C轮|亿元及以上人民币|云锋基金
https://www.itjuzi.com/investevents/3283|2014.5.1|FIR.im|移动互联网|北京|天使轮|数百万人民币|九合创投
https://www.itjuzi.com/investevents/3284|2014.5.1|钛牛科技|汽车交通|北京|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/3285|2014.5.1|京东|电子商务|北京|IPO上市|亿元及以上美元|投资方未透露
https://www.itjuzi.com/investevents/3292|2014.5.1|大象安全套|电子商务|北京|A轮|500万美元|投资方未透露
https://www.itjuzi.com/investevents/3293|2014.5.1|爱考拉|教育|北京|A轮|1000万人民币|IDG资本
https://www.itjuzi.com/investevents/3315|2014.5.1|广东乐源数字|硬件|广东|A轮|6000万人民币|投资方未透露
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/3318|2014.5.1|返利网|电子商务|上海|B轮|2000万美元|SIG海纳亚洲
https://www.itjuzi.com/investevents/3323|2014.5.1|摩登天空ModernSKY|文化娱乐体育|北京|B轮|1亿人民币|中国文化产业投资基金
https://www.itjuzi.com/investevents/3330|2014.5.1|易贷网|金融|四川|A轮|数千万美元|软银中国
https://www.itjuzi.com/investevents/3336|2014.5.1|OpenXLive|游戏|北京|B轮|数千万人民币|元禾控股,海通创意资本,PreAngel
https://www.itjuzi.com/investevents/3345|2014.5.1|擎天柱|游戏|广东|B轮|1.5亿人民币|腾讯
https://www.itjuzi.com/investevents/3350|2014.5.1|Geo集奥聚合|广告营销|北京|C轮|数千万美元|新浪微博(新浪)
https://www.itjuzi.com/investevents/3353|2014.5.1|178人力银行|企业服务|台湾|A轮|数百万美元|I Mercury Capital/Mixi
https://www.itjuzi.com/investevents/3355|2014.5.1|快书包网|电子商务|北京|B轮|800万人民币|龙城英才创业投资引导基金
https://www.itjuzi.com/investevents/3356|2014.5.1|千千氏|本地生活|广东|A轮|数千万美元|昆吾九鼎投资,Temasek淡马锡
https://www.itjuzi.com/investevents/3363|2014.5.1|会见|SNS社交网络|广东|天使轮|数百万人民币|银杏谷资本
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/3364|2014.5.1|云岭奇光|教育|北京|天使轮|未透露|投资方未透露
https://www.itjuzi.com/investevents/3366|2014.5.1|365金融|金融|广东|A轮|1500万美元|投资方未透露
https://www.itjuzi.com/investevents/3376|2014.5.1|Dr.Wine酒博士|电子商务|上海|天使轮|800万人民币|合鲸资本
https://www.itjuzi.com/investevents/3394|2014.5.1|杭州特扬网络|医疗健康|浙江|A轮|800万人民币|投资方未透露
https://www.itjuzi.com/investevents/3411|2014.5.1|窝窝团-众美窝窝|电子商务|北京|C轮|5000万美元|投资方未透露
https://www.itjuzi.com/investevents/3432|2014.5.1|真旅网|旅游|上海|B轮|数千万美元|凯旋创投
https://www.itjuzi.com/investevents/3475|2014.5.1|薏米医生|医疗健康|广东|天使轮|200万人民币|国富源投资
https://www.itjuzi.com/investevents/3477|2014.5.1|Vidonn唯动智能手环|硬件|广东|天使轮|数百万人民币|国富源投资
https://www.itjuzi.com/investevents/3478|2014.5.1|比特帮|金融|广东|天使轮|100万人民币|国富源投资
https://www.itjuzi.com/investevents/3516|2014.5.1|玩途Hitour|旅游|北京|A轮|数百万美元|IDG资本
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/3533|2014.5.1|乐乐达|本地生活|北京|A轮|数千万美元|红杉资本中国,SIG海纳亚洲
https://www.itjuzi.com/investevents/3593|2014.5.1|快找货车|电子商务|广东|A轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/3604|2014.5.1|微营养|医疗健康|江苏|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/3610|2014.5.1|北京四海华辰科技|医疗健康|北京|A轮|数千万人民币|德同资本
https://www.itjuzi.com/investevents/2922|2014.4.30|小能科技|企业服务|北京|A轮|数千万美元|赛富基金
https://www.itjuzi.com/investevents/2966|2014.4.30|锤子科技-锤子手机|硬件|北京|B轮|2亿人民币|金石投资,海通创意资本,紫辉创投,和君资本
https://www.itjuzi.com/investevents/3019|2014.4.30|INMOTION SCV乐行体感车|硬件|广东|A轮|2500万人民币|五岳天下资本
https://www.itjuzi.com/investevents/3024|2014.4.30|天使客|金融|广东|天使轮|200万人民币|德迅投资,经纬中国,架桥投资
https://www.itjuzi.com/investevents/3030|2014.4.30|MailTime简信|工具软件|香港|天使轮|数百万美元|Crystal Stream清流资本,明势资本
