融资方,投资机构,融资金额,所属行业,宣布时间,Url
八零赞电商,N/A,N/A,邮购及电子销售,2015-12-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26828.shtml
云智慧,红杉中国/戈壁投资,"1,230.00万美元",数据处理,2015-12-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26810.shtml
仙童半导体,清芯华创投,"260,000.00万美元",半导体分立器件制造,2015-12-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26769.shtml
紫晶通财,老虎基金,"6,000.00万美元",投资与资产管理,2015-12-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26755.shtml
次元仓,中美创投/松禾资本/分享投资/深圳创新谷,"1,800.00万元",邮购及电子销售,2015-12-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26732.shtml
恒信易贷,N/A,"10,000.00万元",互联网信息服务,2015-12-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26726.shtml
车车汇,N/A,N/A,互联网信息服务,2015-12-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26725.shtml
点石微投行,N/A,N/A,其他未列明的金融活动,2015-12-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26715.shtml
医米信息,道彤投资,"2,000.00万元",互联网信息服务,2015-12-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26708.shtml
东方饺子王,罗斯柴尔德中国,N/A,正餐服务,2015-12-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26701.shtml
美柚女生助手,凯辉私募基金/经纬中国,N/A,互联网信息服务,2015-12-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26683.shtml
成都君乾,N/A,N/A,应用软件服务,2015-12-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26673.shtml
空中食宿,GA/高瓴资本/老虎基金,"150,000.00万美元",其他住宿服务,2015-12-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26172.shtml
游心旅行,N/A,N/A,互联网信息服务,2015-12-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/20270.shtml
良晋电商,嘉富诚/隆领投资/蓝驰创投,"1,500.00万元",通讯及广播电视设备批发,2015-12-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27609.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

鲜肉APP,N/A,N/A,互联网信息服务,2015-12-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27526.shtml
康得新,丰实云兰/安鹏投资/英拓聚鑫,"180,000.08万元",塑料薄膜制造,2015-12-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27245.shtml
中山公用,广西铁投,"10,000.00万元",自来水的生产和供应,2015-12-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26958.shtml
慧格科技,N/A,N/A,互联网信息服务,2015-12-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26797.shtml
升哲科技,诺基亚成长基金/曼图资本,"1,000.00万美元",其他电子设备制造,2015-12-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26796.shtml
丹露信息,N/A,"3,000.00万元",互联网信息服务,2015-12-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26723.shtml
我懂,N/A,N/A,互联网信息服务,2015-12-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26714.shtml
信用宝,朗玛峰创投/德同资本/中美创投,"10,000.00万元",其他未列明的金融活动,2015-12-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26705.shtml
冻品互联,N/A,N/A,应用软件服务,2015-12-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26703.shtml
童伴教育,老鹰基金,N/A,应用软件服务,2015-12-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26702.shtml
兰渡文化,老鹰基金/荣正投资,"4,600.00万元",电视,2015-12-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26682.shtml
PP租,N/A,N/A,其他机械与设备租赁,2015-12-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26674.shtml
魔力象限,浅石创投,N/A,互联网信息服务,2015-12-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26651.shtml
小站教育,红杉中国/维新力特资本/纪源资本/麦顿投资/顺为基金/贝塔斯曼,"8,400.00万美元",互联网信息服务,2015-12-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26062.shtml
辛巴达供应链,朗玛峰创投,"10,000.00万元",互联网信息服务,2015-12-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/14880.shtml
定造生活,祖禾资本,N/A,邮购及电子销售,2015-12-06,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26649.shtml
翡翠教育,N/A,"15,000.00万元",互联网信息服务,2015-12-05,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26655.shtml
酷窝,N/A,"1,500.00万元",其他企业管理服务,2015-12-05,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26645.shtml
闪发车,赛马资本,800.00万元,互联网信息服务,2015-12-05,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26643.shtml
咕啦电商,弘信创业,"1,000.00万元",互联网信息服务,2015-12-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28814.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

优炫软件,纬世财富/嘉铭浩春/上海弘信资本/万吨资产管理/万吨资产管理/一扬嘉德/宁波鼎锋明道/红榕创投/万吨资产管理/康曼德资本,"8,550.00万元",其他软件服务,2015-12-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28685.shtml
唐人接,考拉资本/以太资本/曲速资本,"1,200.00万元",应用软件服务,2015-12-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28660.shtml
公路商店,谆朴投资,N/A,邮购及电子销售,2015-12-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28018.shtml
优融,青云创投,500.00万元,邮购及电子销售,2015-12-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26650.shtml
我赢职场,N/A,N/A,互联网信息服务,2015-12-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26646.shtml
美美租卡,N/A,N/A,互联网信息服务,2015-12-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26639.shtml
全塑网,N/A,N/A,互联网信息服务,2015-12-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26634.shtml
微景天下,N/A,"5,000.00万元",互联网信息服务,2015-12-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26627.shtml
常客,紫辉投资,N/A,互联网信息服务,2015-12-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26616.shtml
会会,创新工场/隆领投资/经纬中国,N/A,应用软件服务,2015-12-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26614.shtml
十三月,诺亚财富/英诺天使,N/A,音像制作,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28698.shtml
壹球成名,光源资本,N/A,互联网信息服务,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28689.shtml
港海建设,远见投资,N/A,水利和港口工程建筑,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28204.shtml
雷曼股份,山楂树投资,"3,199.90万元",光电子器件及其他电子器件制造,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27343.shtml
智齿科技,IDG资本/芳晟基金/华创资本/真格基金,500.00万美元,互联网信息服务,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27286.shtml
龙光地产,惠理基金/RRJ Capital,"100,749.98万港元",房地产开发经营,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27168.shtml
朗星无人机,苏州瑞璜/元禾重元,"20,000.00万元",飞机制造及修理,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26971.shtml
润客投资,N/A,"1,600.00万元",投资与资产管理,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26871.shtml
歌礼生物科技,高盛,"2,000.00万美元",生物，生化制品的制造,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26640.shtml
品友互动,中移国投创新/北广文资/深创投,"50,000.00万元",广告业,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26625.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

全城热炼,君联资本/经纬中国,N/A,应用软件服务,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26621.shtml
抱抱堂,N/A,"5,000.00万元",其他食品零售,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26618.shtml
八爪鱼,N/A,500.00万元,互联网信息服务,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26615.shtml
日志易,红杉中国,"6,000.00万元",互联网信息服务,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26605.shtml
龙席科技,N/A,"3,000.00万元",互联网信息服务,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26603.shtml
新中基,汇垠天星,"58,686.97万元",蔬菜，水果和坚果加工,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26600.shtml
e福利,中科乐创,"1,000.00万元",应用软件服务,2015-12-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26592.shtml
明泰铝业,N/A,"7,500.00万元",常用有色金属压延加工,2015-12-02,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27109.shtml
歌华有线,金砖丝路资本,"60,000.00万元",有线广播电视传输服务,2015-12-02,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26861.shtml
四叶草安全,如山投资,"3,000.00万元",其他计算机服务,2015-12-02,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26635.shtml
柠檬健身,N/A,N/A,互联网信息服务,2015-12-02,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26575.shtml
练题狗,N/A,N/A,互联网信息服务,2015-12-02,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26564.shtml
哼哼音乐,N/A,N/A,互联网信息服务,2015-12-02,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26562.shtml
云开亚美,北极光创投/华盖资本,"10,000.00万元",药品零售,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28906.shtml
蝉大师,N/A,150.00万元,互联网信息服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28873.shtml
微链,如山投资/博将资本/经纬中国/银杏谷投资,"2,800.00万元",互联网信息服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28805.shtml
脉保,N/A,N/A,互联网信息服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28664.shtml
三胞国际,旗乾投资/力鼎资本/农银国联投资/赛领基金/东吴创投/衡盈屹盛,1.25万美元,投资与资产管理,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28582.shtml
竺灿文化,小村资本/经纬中国,N/A,电影制作与发行,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28579.shtml
婚派网,N/A,N/A,婚姻服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28131.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

俺来也,N/A,N/A,互联网信息服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28015.shtml
因微金融,N/A,"3,000.00万元",互联网信息服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27973.shtml
七麦科技,天鹰资本,N/A,数据处理,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27693.shtml
药品终端网,N/A,"5,000.00万元",邮购及电子销售,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27619.shtml
主林信息,N/A,"1,000.00万元",互联网信息服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27523.shtml
大丰收,千合资本,N/A,互联网信息服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27522.shtml
四川商通,广发信德/成都创投/广发信德智胜/康远投资,N/A,其他未列明的金融活动,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27244.shtml
深海巨鲸,山谷资本,N/A,其他未列明的教育,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27221.shtml
爱家早查,N/A,300.00万元,应用软件服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27203.shtml
青墨网络,悦榕资本,"1,000.00万元",互联网信息服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27196.shtml
萌管家,N/A,200.00万元,其他居民服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27118.shtml
爸爸厨房,N/A,N/A,电视,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27023.shtml
良田,题梦资本,N/A,快餐服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27022.shtml
心潮,N/A,N/A,应用软件服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27021.shtml
随手攒,戈壁投资,N/A,其他未列明的金融活动,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27015.shtml
搜办,N/A,N/A,互联网信息服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27009.shtml
铜掌柜,浙银资本,"3,500.00万元",互联网信息服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27001.shtml
君海网络,N/A,N/A,应用软件服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26989.shtml
房金所,N/A,"5,000.00万元",其他未列明的金融活动,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26960.shtml
智阳科技,软银中国资本,"10,000.00万元",互联网信息服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26957.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

万业企业,浦东科投,"204,300.00万元",房地产开发经营,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26887.shtml
天地人环保,东熙投资,"65,000.00万元",污水处理及其再生利用,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26885.shtml
三元钾肥,国开金融,"8,400.00万元",钾肥制造,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26825.shtml
云天翼付,N/A,N/A,互联网信息服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26778.shtml
知一信息,N/A,70.00万元,互联网信息服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26766.shtml
37Move,N/A,50.00万元,互联网信息服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26756.shtml
隐食家,N/A,100.00万美元,互联网信息服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26591.shtml
好房通,赛马资本/成都盈创兴科创业投资合伙企业（有限合伙）/成都德馨,"8,000.00万元",其他软件服务,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26587.shtml
和金在线,红点投资,600.00万美元,人寿保险,2015-12-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26568.shtml
德众云合,国嘉创投,300.00万元,互联网信息服务,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28719.shtml
岂安科技,经纬中国,N/A,应用软件服务,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28695.shtml
货大大,零一创投,N/A,道路货物运输,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28693.shtml
易视互动,N/A,"1,000.00万元",电子元件及组件制造,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28411.shtml
鼎亮汇通,慧海投资/烟城东创/钜源投资/东营汇广/广泽投资/吉彤投资/东珺金皓/东珺惠尊/中金创新资本,"431,320.00万元",投资与资产管理,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28007.shtml
诺霖科技,N/A,N/A,其他软件服务,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27759.shtml
云家政,海纳亚洲/蓝驰创投,"1,200.00万美元",互联网信息服务,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26890.shtml
神工众志,顺为基金/晨兴创投,N/A,建筑安装业,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26774.shtml
家宅一生,N/A,N/A,互联网信息服务,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26694.shtml
势场科技,N/A,N/A,互联网信息服务,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26688.shtml
嘻鱿记,真格基金,500.00万元,邮购及电子销售,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26601.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

丫丫信息,中汇金,N/A,互联网信息服务,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26545.shtml
多洗,盛景嘉成,"1,000.00万元",互联网信息服务,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26541.shtml
零点空间科技,N/A,"3,000.00万元",邮购及电子销售,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26534.shtml
盛诺基医药,磐霖资本,N/A,化学药品原药制造,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26533.shtml
凹凸租车,赫斯特资本/常春藤资本/经纬中国/联创策源,"30,000.00万元",应用软件服务,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26515.shtml
太极疗,微派,N/A,应用软件服务,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26503.shtml
豆萌科技,丰厚资本,N/A,互联网信息服务,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26411.shtml
广电电气,华信世纪,"77,400.00万元",电工机械专用设备制造,2015-11-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25545.shtml
赚赚金融,京北投资,N/A,其他未列明的金融活动,2015-11-29,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26553.shtml
狼王网络,中路集团,300.00万元,应用软件服务,2015-11-29,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26517.shtml
芜湖笔画网络,游侠汇投资,N/A,其他软件服务,2015-11-28,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28839.shtml
任意球,N/A,800.00万元,互联网信息服务,2015-11-28,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26555.shtml
鸭子很忙,N/A,680.00万元,邮购及电子销售,2015-11-28,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26554.shtml
魔筷科技,N/A,"1,000.00万元",应用软件服务,2015-11-28,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26529.shtml
佩琪集团,N/A,"3,000.00万元",互联网信息服务,2015-11-28,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26526.shtml
亮风台,纪源资本,N/A,其他软件服务,2015-11-28,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26525.shtml
三点一刻,Infinity Venture/鼎晟天平,"2,000.00万元",其他专业咨询,2015-11-28,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26510.shtml
傲基电商,知点投资/嘉鸿壹号/同安投资,"4,900.00万元",邮购及电子销售,2015-11-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28422.shtml
大卫之选,N/A,N/A,互联网信息服务,2015-11-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27987.shtml
壹晨仟阳,初心资本/华旦天使,N/A,互联网信息服务,2015-11-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27901.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

VOCO,中科招商集团,N/A,其他娱乐活动,2015-11-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27410.shtml
国新能源,平安资产/德同资本/德同诚鼎/诚鼎扬子,"55,845.00万元",企业管理机构,2015-11-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27014.shtml
新疆梅花,国开金融,"2,000.00万元",其他调味品，发酵制品制造,2015-11-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27000.shtml
华天科技,银河投资/华安未来资产,"40,000.00万元",集成电路制造,2015-11-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26803.shtml
百安保险,高瓴资本,N/A,人寿保险,2015-11-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26590.shtml
五矿电商,阿里创投,"31,680.00万元",邮购及电子销售,2015-11-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26522.shtml
米呀,N/A,"1,000.00万元",邮购及电子销售,2015-11-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26498.shtml
eDoctor,弘晖资本,N/A,互联网信息服务,2015-11-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26486.shtml
欢雀科技,N/A,N/A,互联网信息服务,2015-11-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26475.shtml
杰普特,松禾资本,N/A,通信传输设备制造,2015-11-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26471.shtml
聚飞光电,西藏瑞华,"9,339.15万元",光电子器件及其他电子器件制造,2015-11-26,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27072.shtml
京运通,上汽投资/皖投铁路投资/中安资本,"84,004.50万元",烘炉，熔炉及电炉制造,2015-11-26,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26860.shtml
纯一实业,自贸区基金管理公司,"47,771.18万元",其他未列明的金融活动,2015-11-26,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26672.shtml
玺鉴金融,N/A,N/A,互联网信息服务,2015-11-26,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26488.shtml
优才网,丹诚资管,N/A,职业技能培训,2015-11-26,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26473.shtml
快马医疗,经纬中国/真顺基金,N/A,其他卫生活动,2015-11-26,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26468.shtml
特惠帮,N/A,"5,000.00万元",应用软件服务,2015-11-26,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26466.shtml
钱升钱,元璟资本/蓝驰创投,N/A,其他未列明的金融活动,2015-11-26,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26465.shtml
畅途汽车,红杉中国,N/A,汽车修理,2015-11-26,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26462.shtml
早教到家,N/A,"1,000.00万元",学前教育,2015-11-26,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26452.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

大家家居,N/A,800.00万元,互联网信息服务,2015-11-26,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26451.shtml
心联网,真格基金,N/A,互联网信息服务,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28938.shtml
萌蛋互动,微光创投,N/A,互联网信息服务,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28567.shtml
嘉达科技,嘉实投资,"59,400.00万元",其他专业技术服务,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28258.shtml
博信股份,烜卓投资,"58,320.00万元",投资与资产管理,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28111.shtml
第六感SenseLuxury墅假,海纳亚洲/华岩资本,N/A,互联网信息服务,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27646.shtml
立高科技,君瑞投资,"1,000.80万元",食品，饮料，烟草工业专用设备制造,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26985.shtml
玺鉴金融,上海中沃,N/A,互联网信息服务,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26912.shtml
新湖中宝,中欧盛世/华安未来资产,"150,000.00万元",房地产开发经营,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26790.shtml
亨通铜材,国开金融,"2,900.00万元",常用有色金属压延加工,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26668.shtml
凤梨科技,湖畔山南,N/A,互联网信息服务,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26549.shtml
壹号农场,徽瑾创投,"2,000.00万元",邮购及电子销售,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26470.shtml
易企秀,华控汇金,N/A,其他软件服务,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26464.shtml
悦好科技,中科招商,"3,000.00万元",计算机系统服务,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26446.shtml
Jet,富达亚洲/阿里巴巴/贝恩资本/Google Ventures,"35,000.00万美元",邮购及电子销售,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26443.shtml
第五大道,源石资本,N/A,邮购及电子销售,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26433.shtml
山景科创,N/A,"6,000.00万美元",互联网信息服务,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26431.shtml
Shiftgig,纪源资本/Chicago Ventures/Pritzker Group/Wicklow Capital,"2,200.00万美元",互联网信息服务,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26426.shtml
牛牛汽车,熊猫资本,500.00万元,互联网信息服务,2015-11-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25206.shtml
金盾软件,N/A,"1,800.00万元",基础软件服务,2015-11-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27708.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

道一信息,合泰久盛/尼克投资,"1,100.00万元",基础软件服务,2015-11-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26480.shtml
秒拍视频,德丰杰/红杉中国,"20,000.00万美元",应用软件服务,2015-11-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26413.shtml
猎芯科技,经纬中国,N/A,邮购及电子销售,2015-11-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26410.shtml
自在客,中广文影,N/A,互联网信息服务,2015-11-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26409.shtml
赤子城网络,N/A,N/A,互联网信息服务,2015-11-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26393.shtml
大麦理财,长城长富,N/A,其他未列明的金融活动,2015-11-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26391.shtml
宠物帮,初心资本/众创共享基金,N/A,互联网信息服务,2015-11-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24981.shtml
光猪圈,冠军VC/洪泰基金,"1,200.00万元",互联网信息服务,2015-11-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28657.shtml
德马科技,N/A,306.50万元,邮政专用机械及器材制造,2015-11-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27106.shtml
朗姿股份,国药资本/赛领博欣/赛领并购/京道产业基金,"80,000.00万元",纺织服装制造,2015-11-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26982.shtml
