融资方,投资机构,融资金额,所属行业,宣布时间,Url
致景科技,源码资本,N/A,互联网信息服务,2016-03-21,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29200.shtml
小邻小里,寰宇投资/九鼎投资,"6,000.00万元",应用软件服务,2016-03-21,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29193.shtml
出发点旅游,N/A,N/A,互联网信息服务,2016-03-21,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29189.shtml
正和网络,中创电商,N/A,互联网信息服务,2016-03-21,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29187.shtml
美黛拉,IDG资本/平安医疗基金/高榕资本,"1,200.00万美元",互联网信息服务,2016-03-21,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29185.shtml
慧择保险网,拉卡拉投资/创东方,"20,000.00万元",保险辅助服务,2016-03-21,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29181.shtml
土流网,经纬创投,"15,000.00万元",互联网信息服务,2016-03-20,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29199.shtml
易酒批,钟鼎创投/源码资本/光源资本/元生资本,"20,000.00万元",邮购及电子销售,2016-03-20,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29180.shtml
妈咪知道,昆仲资本/软银中国资本/晨兴资本/山楂树投资,"10,000.00万元",应用软件服务,2016-03-19,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29207.shtml
古德体育,N/A,300.00万元,互联网信息服务,2016-03-19,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29190.shtml
杭州造否,跨星创投,N/A,投资与资产管理,2016-03-19,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29188.shtml
Papi酱,真格基金/光源资本,"1,000.00万元",投资与资产管理,2016-03-19,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29178.shtml
大健康云商,软银中国资本/盛太投资,"13,500.00万元",其他未列明的零售,2016-03-19,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29177.shtml
二更网络,真格基金/基石资本,"5,000.00万元",互联网信息服务,2016-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29198.shtml
九慧金服,N/A,N/A,其他未列明的金融活动,2016-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29172.shtml
安琪柳州,国开金融,"5,100.00万元",有机肥料及微生物肥料制造,2016-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29170.shtml
店商互联,德同资本/长江国弘/先锋金融集团,"13,000.00万元",邮购及电子销售,2016-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29169.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

迈宝世纪,N/A,N/A,邮购及电子销售,2016-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29161.shtml
执惠旅游,淳时资本/左驭资本,"1,000.00万元",旅行社,2016-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29160.shtml
两鲜商贸,N/A,"2,000.00万美元",邮购及电子销售,2016-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29159.shtml
紫晶通财,N/A,"15,000.00万美元",投资与资产管理,2016-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29158.shtml
博润通,天风天睿汇盈/华工创投/武汉光谷创投/海高伦投资,"1,000.00万元",基础软件服务,2016-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29156.shtml
省心宝,N/A,"4,000.00万元",互联网信息服务,2016-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29148.shtml
IPRdaily,启赋资本/天使汇,N/A,新闻业,2016-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29144.shtml
脸萌科技,光速安振中国,N/A,应用软件服务,2016-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29138.shtml
魔方网,深创投/经纬创投,N/A,互联网信息服务,2016-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29137.shtml
高特佳,京道产业基金,"31,000.00万元",投资与资产管理,2016-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27858.shtml
华峰超纤,华安未来资产,"30,691.50万元",塑料人造革，合成革制造,2016-03-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29195.shtml
嘉兴摩贝,红杉中国/挚信资本/创新工场/昆仲资本/盘古创富,N/A,互联网信息服务,2016-03-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29143.shtml
昊福文化,匹克投资,235.00万元,图书出版,2016-03-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29131.shtml
亚太医疗,贝恩资本,"15,000.00万美元",综合医院,2016-03-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29130.shtml
InstaRem,祥峰集团/淡马锡,500.00万美元,其他未列明的金融活动,2016-03-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29111.shtml
口袋记账,丰厚资本/启赋资本,"1,600.00万元",应用软件服务,2016-03-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29110.shtml
森声科技,五岳华诺创投,N/A,家用音响设备制造,2016-03-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29097.shtml
苏州园林,申银万国投资,495.00万元,其他园艺作物的种植,2016-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29184.shtml
鑫安利,达晨创投,"1,000.00万元",技术推广服务,2016-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29153.shtml
宏伟供应,中电投融和/中核基金/中广核亨风股权,"5,000.00万元",其他仓储,2016-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29142.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

长城华冠,敦益投资,200.00万元,汽车整车制造,2016-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29123.shtml
KKday,九易资本/AppWorks,450.00万美元,旅行社,2016-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29122.shtml
Oscar ,平安创新中心/Founders Fund/谷歌资本/General Catalyst/科斯拉风投,"40,000.00万美元",非人寿保险,2016-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29108.shtml
Ambidio,维港投资,N/A,音像制作,2016-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29104.shtml
微仓,起源资本,100.00万元,邮购及电子销售,2016-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29102.shtml
次元文化,昆仲资本,N/A,文化艺术经纪代理,2016-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29100.shtml
