融资方,投资机构,融资金额,轮次,投资时间,Url
钱包金服,高榕资本Banyan Fund,N/A,A轮,2015-05-18,http://if.pedaily.cn/invest/50006289.shtml
银票网,亚联资本,1000万美元,A轮,2015-05-15,http://if.pedaily.cn/invest/50006288.shtml
抱财网,凯乐科技,13000万人民币,并购,2015-05-15,http://if.pedaily.cn/invest/50006145.shtml
理财魔方/口袋财富,未公开,1000万人民币,天使投资,2015-05-11,http://if.pedaily.cn/invest/50006294.shtml
付融宝,未公开,N/A,A轮,2015-05-11,http://if.pedaily.cn/invest/50006271.shtml
爱有财/零壹投资,海通创意资本/上海文化产业基金,N/A,天使投资,2015-05-07,http://if.pedaily.cn/invest/50006295.shtml
网利金融,鸿利光电,4000万美元,B轮,2015-05-05,http://if.pedaily.cn/invest/50006143.shtml
邦帮堂,毅光年,N/A,天使投资,2015-04-30,http://if.pedaily.cn/invest/50006142.shtml
乐刷/移卡科技,未透露,N/A,B轮,2015-04-29,http://if.pedaily.cn/invest/50006144.shtml
投哪网,未公开,15000万人民币,B轮,2015-04-29,http://if.pedaily.cn/invest/50006286.shtml
团贷网,昆吾九鼎投资,50000万人民币,B轮,2015-04-23,http://if.pedaily.cn/invest/50006141.shtml
前隆金融,红杉资本中国，清科创投，Blue Lake Capital蓝湖资本,N/A,A+,2015-04-22,http://if.pedaily.cn/invest/50006139.shtml
积木盒子,经纬中国，银泰资本Ventech，顺为基金等,8400万美元,C轮,2015-04-21,http://if.pedaily.cn/invest/50006138.shtml
车能贷,伯藜创投，飞马基金/飞马旅,1200万人民币,天使投资,2015-04-21,http://if.pedaily.cn/invest/50006297.shtml
闪白条,未公开,500万美元,天使投资,2015-04-21,http://if.pedaily.cn/invest/50006298.shtml
马展金融,蓝驰创投,1000万美元,A轮,2015-04-20,http://if.pedaily.cn/invest/50006140.shtml
中筹网金,未公开,1800万人民币,A轮,2015-04-17,http://if.pedaily.cn/invest/50006311.shtml
掌贷宝/融都科技,未公开,6600万人民币,A轮,2015-04-15,http://if.pedaily.cn/invest/50006300.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

随手科技,源码资本、复星昆仲资本、昆仑万维,N/A,B轮,2015-04-15,http://if.pedaily.cn/invest/50006069.shtml
和诚智达/运盈e贷,未公开,3500万人民币,A轮,2015-04-14,http://if.pedaily.cn/invest/50006299.shtml
黄金钱包,软银中国/软银集团,N/A,A轮,2015-04-14,http://if.pedaily.cn/invest/50006370.shtml
典阅科技,未公开,323万人民币,天使投资,2015-04-13,http://if.pedaily.cn/invest/50006312.shtml
共赢社/深圳中融资本,富贵鸟,N/A,A轮,2015-04-10,http://if.pedaily.cn/invest/50006315.shtml
共赢社/深圳中融资本,高榕资本Banyan Fund,N/A,天使投资,2015-04-10,http://if.pedaily.cn/invest/50006371.shtml
先花花,正和磁系资本/正和岛,N/A,A轮,2015-04-10,http://if.pedaily.cn/invest/50006282.shtml
麦子金服,海通开元/海通证券,N/A,A轮,2015-04-08,http://if.pedaily.cn/invest/50006372.shtml
玖富咨询,IDG资本,11000万美元,A轮,2015-04-08,http://if.pedaily.cn/invest/50006137.shtml
趣分期,昆仑万维,N/A,D轮,2015-04-03,http://if.pedaily.cn/invest/50006136.shtml
全民财富/上海欣亨金融,达泰资本,2000万人民币,天使投资,2015-04-02,http://if.pedaily.cn/invest/50006322.shtml
小股神/北京乐不思蜀科技,元素资本,500万人民币,天使投资,2015-04-02,http://if.pedaily.cn/invest/50006317.shtml
借点儿,丰厚资本，黑马基金,N/A,天使投资,2015-04-02,http://if.pedaily.cn/invest/50006296.shtml
仁仁分期,报喜鸟,2500万人民币,A轮,2015-03-27,http://if.pedaily.cn/invest/50006133.shtml
HelloMoney财富你好/芒柠网络,中路股份,N/A,天使投资,2015-03-27,http://if.pedaily.cn/invest/50006134.shtml
爱钱包,光大集团,5000万人民币,A轮,2015-03-26,http://if.pedaily.cn/invest/50006131.shtml
闪电借款,神州付,N/A,天使投资,2015-03-26,http://if.pedaily.cn/invest/50006132.shtml
优优宝/五辰鑫达科技,洪泰基金,N/A,天使投资,2015-03-25,http://if.pedaily.cn/invest/50006323.shtml
送姜很行,英诺天使基金/厚德创新谷，洪泰基金,N/A,天使投资,2015-03-23,http://if.pedaily.cn/invest/50006130.shtml
拍拍贷,君联资本/联想投资,4000万美元,C轮,2015-03-20,http://if.pedaily.cn/invest/50006123.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

米牛网,华映资本，825新媒体产业基金,4980万人民币,A轮,2015-03-20,http://if.pedaily.cn/invest/50006129.shtml
熟信,陶石资本,N/A,天使投资,2015-03-19,http://if.pedaily.cn/invest/50006128.shtml
天使客,德迅投资/李青,800万人民币,A轮,2015-03-19,http://if.pedaily.cn/invest/50006124.shtml
大家投,未公开,1000万人民币,A轮,2015-03-19,http://if.pedaily.cn/invest/50006358.shtml
分期乐,京东商城,N/A,C轮,2015-03-18,http://if.pedaily.cn/invest/50006125.shtml
易宝支付,TA Associates/远东宏信,N/A,C轮,2015-03-18,http://if.pedaily.cn/invest/50006126.shtml
员工宝/诺亚易捷金融,红杉资本中国,N/A,A轮,2015-03-17,http://if.pedaily.cn/invest/50006127.shtml
成都易分期,未公开,500万人民币,天使投资,2015-03-17,http://if.pedaily.cn/invest/50006324.shtml
路人甲/汇涓时代,未透露,200万人民币,天使投资,2015-03-16,http://if.pedaily.cn/invest/50006135.shtml
99分期/好斌金融,未透露投资人,N/A,A轮,2015-03-16,http://if.pedaily.cn/invest/50006120.shtml
芥末金融,真格基金，弘合基金/东方弘道资本，高榕资本Banyan Fund,N/A,天使投资,2015-03-12,http://if.pedaily.cn/invest/50006316.shtml
巨涟金融,未透露投资人,10000万人民币,A轮,2015-03-10,http://if.pedaily.cn/invest/50006115.shtml
高搜易,创东方投资,N/A,A轮,2015-03-10,http://if.pedaily.cn/invest/50006116.shtml
易界网/DealGlobe,未透露的投资人,N/A,天使投资,2015-03-10,http://if.pedaily.cn/invest/50006122.shtml
大钱信息,春山浦江,5000万人民币,A轮,2015-03-05,http://if.pedaily.cn/invest/50006114.shtml
Wecash 闪银,SIG海纳亚洲,2000万美元,B轮,2015-03-03,http://if.pedaily.cn/invest/50006111.shtml
随时融,智慧能源,1000万人民币,A轮,2015-02-11,http://if.pedaily.cn/invest/50006044.shtml
德邦基金,阿里巴巴/阿里资本,N/A,并购,2015-02-11,http://if.pedaily.cn/invest/50006045.shtml
呼哧旅行支票/麦信卓越科技,未透露投资人,N/A,A轮,2015-02-10,http://if.pedaily.cn/invest/50006121.shtml
人人操盘,人人贷,N/A,天使投资,2015-02-05,http://if.pedaily.cn/invest/50006117.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

恩牛网络,纪源资本GGV,5000万美元,B轮,2015-02-05,http://if.pedaily.cn/invest/50006067.shtml
橙旗金融,国采科技股份有限公司,N/A,并购,2015-02-04,http://if.pedaily.cn/invest/50006009.shtml
真融宝,经纬中国,1000万美元,A轮,2015-02-04,http://if.pedaily.cn/invest/50006487.shtml
惠金天下/上海裕能金融,薛蛮子，翰潭投资,N/A,天使投资,2015-01-30,http://if.pedaily.cn/invest/50006118.shtml
草根投资网/草根网络,顺为基金,N/A,A轮,2015-01-29,http://if.pedaily.cn/invest/50006485.shtml
桔子理财,经纬中国，险峰华兴，贝塔斯曼亚洲投资基金/Betafund，DST/Yuri Milner(中国投资),10000万美元,B轮,2015-01-29,http://if.pedaily.cn/invest/50006462.shtml
联拓金融,光信资本,N/A,A轮,2015-01-27,http://if.pedaily.cn/invest/50006112.shtml
钱大人,华盛基金,N/A,天使投资,2015-01-26,http://if.pedaily.cn/invest/50006119.shtml
心跳投资,PreAngel/PA镭厉/PA鉴睿,N/A,天使投资,2015-01-23,http://if.pedaily.cn/invest/50006103.shtml
股360,富达亚洲风险投资,N/A,C轮,2015-01-22,http://if.pedaily.cn/invest/50006077.shtml
德圣基金研究中心,钱景财富,N/A,A轮,2015-01-21,http://if.pedaily.cn/invest/50006113.shtml
懒投资/大家玩,贝塔斯曼亚洲投资基金/Betafund，联创策源，源码资本,2100万美元,A轮,2015-01-21,http://if.pedaily.cn/invest/50006463.shtml
好项目,曼图资本Mandra Capital,500万美元,A轮,2015-01-21,http://if.pedaily.cn/invest/50006413.shtml
紫桐金融,昆吾九鼎投资，信天创投,N/A,A轮,2015-01-19,http://if.pedaily.cn/invest/50006483.shtml
医界贷,未公开,N/A,A轮,2015-01-19,http://if.pedaily.cn/invest/50006484.shtml
百财车贷,恩惟资本,N/A,天使投资,2015-01-16,http://if.pedaily.cn/invest/50006482.shtml
爱学贷,未公开,4000万美元,A轮,2015-01-11,http://if.pedaily.cn/invest/50006479.shtml
好又贷,未公开,6000万人民币,A轮,2015-01-09,http://if.pedaily.cn/invest/50006464.shtml
合道融通/合融网,小米科技,1000万人民币,A轮,2015-01-07,http://if.pedaily.cn/invest/50006478.shtml
众人贷,未公开,3000万人民币,A轮,2015-01-04,http://if.pedaily.cn/invest/50006481.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

Formax福亿,IDG资本/复星昆仲资本,1000万美元,B轮,2014-12-31,http://if.pedaily.cn/invest/50006055.shtml
云中信Creditcloud,君联资本/联想投资,N/A,A轮,2014-12-30,http://if.pedaily.cn/invest/50006486.shtml
筹趣网,清科创投，创业邦天使基金,N/A,天使投资,2014-12-30,http://if.pedaily.cn/invest/50006480.shtml
中国量化投资网,华创资本，景林投资/景林资产,N/A,A轮,2014-12-30,http://if.pedaily.cn/invest/50006477.shtml
趣炒股/华赢科技,梅花天使创投/吴世春,500万人民币,天使投资,2014-12-30,http://if.pedaily.cn/invest/50006474.shtml
寻钱网,浙商创投，丰厚资本,N/A,A轮,2014-12-28,http://if.pedaily.cn/invest/50006473.shtml
陆金所,未公开,N/A,A轮,2014-12-26,http://if.pedaily.cn/invest/50006471.shtml
票据客/富商金融,清科创投,2000万人民币,A轮,2014-12-26,http://if.pedaily.cn/invest/50006472.shtml
金电联行,力鼎资本/国泰君安力鼎，国科嘉和,N/A,B轮,2014-12-24,http://if.pedaily.cn/invest/50006429.shtml
阿里路亚,未公开,N/A,天使投资,2014-12-23,http://if.pedaily.cn/invest/50006470.shtml
金汇丰/汇诚创利,未公开,10000万人民币,B轮,2014-12-22,http://if.pedaily.cn/invest/50006476.shtml
普惠金融,高榕资本Banyan Fund,5000万美元,A轮,2014-12-22,http://if.pedaily.cn/invest/50006469.shtml
大家保,黑马基金,N/A,B轮,2014-12-22,http://if.pedaily.cn/invest/50006309.shtml
金汇丰/汇诚创利,未公开,1500万人民币,A轮,2014-12-21,http://if.pedaily.cn/invest/50006475.shtml
全球贷/环球财富,香格里拉,1000万美元,天使投资,2014-12-19,http://if.pedaily.cn/invest/50006468.shtml
众筹空间/轻众筹,IDG资本,N/A,A轮,2014-12-17,http://if.pedaily.cn/invest/50006499.shtml
91快车/衡惠金融,深圳中电投资股份有限公司,5000万人民币,A轮,2014-12-09,http://if.pedaily.cn/invest/50006498.shtml
天天投/添砖加瓦,抱团科技/尼毕鲁科技Tap4fun,N/A,A轮,2014-12-09,http://if.pedaily.cn/invest/50006466.shtml
众筹第三方/稳利科技,未公开,N/A,天使投资,2014-12-08,http://if.pedaily.cn/invest/50006497.shtml
趣分期,源码资本、蓝驰创投,10000万美元,C轮,2014-12-02,http://if.pedaily.cn/invest/50006032.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

挖财,IDG资本/启明创投/鼎晖投资/宽带资本/中金资本,5000万美元,B轮,2014-12-01,http://if.pedaily.cn/invest/50006048.shtml
微财/掌傲博科技,未公开,N/A,A轮,2014-11-30,http://if.pedaily.cn/invest/50006496.shtml
钱袋宝,IDG资本，高榕资本Banyan Fund，海通开元/海通证券,N/A,A轮,2014-11-26,http://if.pedaily.cn/invest/50006495.shtml
中青创投网,未公开,3000万人民币,A轮,2014-11-23,http://if.pedaily.cn/invest/50006494.shtml
易筹网/方丁易筹,未公开,N/A,天使投资,2014-11-14,http://if.pedaily.cn/invest/50006493.shtml
第一P2P/网信金融,未公开,5000万人民币,A轮,2014-11-13,http://if.pedaily.cn/invest/50006491.shtml
钱多多/旭胜金融,丰实资本,N/A,A轮,2014-11-13,http://if.pedaily.cn/invest/50006492.shtml
E微贷,亨亚集团、中生金控、华盛基金,N/A,A轮,2014-11-08,http://if.pedaily.cn/invest/50006490.shtml
沐金农,瀚霖资本,N/A,天使投资,2014-11-07,http://if.pedaily.cn/invest/50006489.shtml
资本汇/乐投网络,未公开,N/A,天使投资,2014-11-06,http://if.pedaily.cn/invest/50006488.shtml
好贷网/心向优势,祥峰投资Vertex   DCM中国,N/A,B轮,2014-11-03,http://if.pedaily.cn/invest/50006401.shtml
上海银商资讯,未公开,12500万人民币,B轮,2014-11-01,http://if.pedaily.cn/invest/50006414.shtml
8Securities,华创资本,870万美元,B轮,2014-11-01,http://if.pedaily.cn/invest/50006303.shtml
信通袋,未公开,N/A,天使投资,2014-10-31,http://if.pedaily.cn/invest/50006393.shtml
友借友还/天道计然,未公开,700万美元,A轮,2014-10-31,http://if.pedaily.cn/invest/50006467.shtml
短融网,深圳启赋资本,N/A,A轮,2014-10-21,http://if.pedaily.cn/invest/50006461.shtml
黄金钱包,未公开,N/A,天使投资,2014-10-20,http://if.pedaily.cn/invest/50006446.shtml
壹财富/小虎金融,源码资本,N/A,A轮,2014-10-16,http://if.pedaily.cn/invest/50006456.shtml
OK车险/保橙网络,IDG资本，云启创投,N/A,A轮,2014-10-14,http://if.pedaily.cn/invest/50006455.shtml
中币交易所,未透露的投资者,N/A,天使投资,2014-10-10,http://if.pedaily.cn/invest/50006040.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

点融网,新鸿基投资,N/A,B轮,2014-10-10,http://if.pedaily.cn/invest/50006006.shtml
搜富580,华盛基金,1000万人民币,天使投资,2014-10-10,http://if.pedaily.cn/invest/50006079.shtml
靠谱鸟,联想之星,1000万人民币,天使投资,2014-10-01,http://if.pedaily.cn/invest/50006459.shtml
神州融/神州微融,清科创投，德迅投资/曾李青,N/A,A轮,2014-10-01,http://if.pedaily.cn/invest/50006465.shtml
PingPlusPlus拼谱啦,未公开,N/A,天使投资,2014-09-30,http://if.pedaily.cn/invest/50006345.shtml
乐投天下,原子创投,N/A,天使投资,2014-09-30,http://if.pedaily.cn/invest/50006342.shtml
铜板街,君联资本、IDG资本、华创资本,5000万美元,B轮,2014-09-30,http://if.pedaily.cn/invest/50006102.shtml
众投邦,创东方投资,1000万人民币,A轮,2014-09-30,http://if.pedaily.cn/invest/50006091.shtml
银讯网,君联资本/联想投资,1000万美元,A轮,2014-09-28,http://if.pedaily.cn/invest/50006451.shtml
量化派,华创资本,N/A,A轮,2014-09-25,http://if.pedaily.cn/invest/50006104.shtml
豫商贷/豫商贷网络,北京宏融宝汇投资有限公司,N/A,A轮,2014-09-16,http://if.pedaily.cn/invest/50006449.shtml
钱升钱,蓝驰创投,1000万美元,A轮,2014-09-15,http://if.pedaily.cn/invest/50006406.shtml
随手科技,红杉资本/复星昆仲资本,N/A,B轮,2014-09-13,http://if.pedaily.cn/invest/50006070.shtml
雪球财经,人人公司/千橡互动、晨兴创投,4000万美元,C轮,2014-09-12,http://if.pedaily.cn/invest/50006325.shtml
融道网,上海科技投资,1000万人民币,A轮,2014-09-04,http://if.pedaily.cn/invest/50006080.shtml
随时融,不公开的投资者,1000万人民币,天使投资,2014-09-01,http://if.pedaily.cn/invest/50006053.shtml
懒投资/大家玩,源码资本,1000万人民币,天使投资,2014-09-01,http://if.pedaily.cn/invest/50006450.shtml
PingPlusPlus拼谱啦,红杉资本中国,N/A,A轮,2014-09-01,http://if.pedaily.cn/invest/50006452.shtml
趣分期,蓝驰创投、源码资本,N/A,B轮,2014-08-30,http://if.pedaily.cn/invest/50006031.shtml
盈盈理财,纪源资本GGV,1000万美元,B轮,2014-08-30,http://if.pedaily.cn/invest/50006074.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

奇点集/奇点创投,景林投资/景林资产,N/A,A轮,2014-08-30,http://if.pedaily.cn/invest/50006092.shtml
中科柏诚科技,深圳启赋资本,10000万人民币,A轮,2014-08-19,http://if.pedaily.cn/invest/50006017.shtml
杭州同盾科技,IDG资本、宽带资本、线性资本,1000万美元,A轮,2014-08-12,http://if.pedaily.cn/invest/50006019.shtml
分期乐,经纬中国，险峰华兴，贝塔斯曼亚洲投资基金/Betafund,1000万美元,A轮,2014-08-12,http://if.pedaily.cn/invest/50006394.shtml
阜鼎保理/阜鼎汇通商业保理,经纬中国,N/A,A轮,2014-08-01,http://if.pedaily.cn/invest/50006432.shtml
优分期/和创未来,真格基金,1000万人民币,天使投资,2014-08-01,http://if.pedaily.cn/invest/50006453.shtml
即科金融Geex Finance,红杉资本中国,N/A,A轮,2014-08-01,http://if.pedaily.cn/invest/50006454.shtml
大特保,险峰华兴,N/A,天使投资,2014-08-01,http://if.pedaily.cn/invest/50006458.shtml
前隆金融,红杉资本,N/A,A轮,2014-08-01,http://if.pedaily.cn/invest/50006016.shtml
恒银金融,深创投,N/A,A轮,2014-07-30,http://if.pedaily.cn/invest/50006082.shtml
上海屹通信息,东方国信,45000万人民币,并购,2014-07-30,http://if.pedaily.cn/invest/50006083.shtml
趣分期,蓝驰创投,N/A,A轮,2014-07-30,http://if.pedaily.cn/invest/50006029.shtml
Wecash 闪银,IDG资本,4000万人民币,A轮,2014-07-30,http://if.pedaily.cn/invest/50006030.shtml
共鸣科技,IDG资本,1000万美元,A轮,2014-07-30,http://if.pedaily.cn/invest/50006025.shtml
夸客金融,戈壁投资,N/A,A轮,2014-07-27,http://if.pedaily.cn/invest/50006343.shtml
融360,淡马锡、光速创投、红杉资本、凯鹏华盈,6000万美元,C轮,2014-07-23,http://if.pedaily.cn/invest/50006301.shtml
仁仁分期,天使投资人王刚,N/A,天使投资,2014-07-13,http://if.pedaily.cn/invest/50006392.shtml
众筹空间,未公开,N/A,天使投资,2014-07-01,http://if.pedaily.cn/invest/50006447.shtml
花果金融,蓝色经济区产业投资基金,N/A,A轮,2014-07-01,http://if.pedaily.cn/invest/50006443.shtml
恒银金融科技,深圳市创新投资集团(深创投),N/A,A轮,2014-07-01,http://if.pedaily.cn/invest/50006444.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

爱钱帮,盛大资本/盛大,1000万人民币,A轮,2014-07-01,http://if.pedaily.cn/invest/50006439.shtml
众筹空间/轻众筹,未透露的投资人,100万人民币,天使投资,2014-07-01,http://if.pedaily.cn/invest/50006093.shtml
91金融,海通开元/经纬中国/宽带资本,20000万人民币,B轮,2014-06-30,http://if.pedaily.cn/invest/50006062.shtml
壹财富/小虎金融,未公开,N/A,天使投资,2014-06-30,http://if.pedaily.cn/invest/50006457.shtml
大通宝电子支付,未公开,N/A,A轮,2014-06-30,http://if.pedaily.cn/invest/50006346.shtml
诺瓦金融信息,未透露的投资人,100万人民币,天使投资,2014-06-26,http://if.pedaily.cn/invest/50006042.shtml
网融天下,易孚泽投资-林广茂,N/A,A轮,2014-06-25,http://if.pedaily.cn/invest/50006416.shtml
有利网,晨兴创投MorningSide,1000万美元,B轮,2014-06-18,http://if.pedaily.cn/invest/50006347.shtml
银联商务,联银创投,34100万人民币,E轮,2014-06-11,http://if.pedaily.cn/invest/50006026.shtml
意时网,不公开的投资者,50000万人民币,A轮,2014-06-01,http://if.pedaily.cn/invest/50006010.shtml
阿思拓,高榕资本,1000万人民币,A轮,2014-06-01,http://if.pedaily.cn/invest/50006011.shtml
微贷网,盛大资本/盛大,10000万人民币,A轮,2014-06-01,http://if.pedaily.cn/invest/50006348.shtml
投资无忧/易八投资,易一天使,N/A,天使投资,2014-06-01,http://if.pedaily.cn/invest/50006460.shtml
乐投壹佰,北京北上投资基金管理有限责任公司,N/A,A轮,2014-06-01,http://if.pedaily.cn/invest/50006440.shtml
微美贷VMdai,未公开,1000万美元,A轮,2014-06-01,http://if.pedaily.cn/invest/50006441.shtml
玖玖金融,未公开,N/A,天使投资,2014-06-01,http://if.pedaily.cn/invest/50006442.shtml
WeLab我来贷,红杉资本中国，TOM集团,1400万美元,A轮,2014-06-01,http://if.pedaily.cn/invest/50006434.shtml
拾财贷,若水合投,10000万人民币,A轮,2014-06-01,http://if.pedaily.cn/invest/50006435.shtml
投哪网,广发信德-广发证券,10000万人民币,A轮,2014-06-01,http://if.pedaily.cn/invest/50006436.shtml
点心贷/点心科技,弘合基金/东方弘道资本,N/A,A轮,2014-06-01,http://if.pedaily.cn/invest/50006437.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

安心de利/易融德利,真格基金,N/A,天使投资,2014-06-01,http://if.pedaily.cn/invest/50006438.shtml
桔子理财,经纬中国,N/A,A轮,2014-06-01,http://if.pedaily.cn/invest/50006448.shtml
爱学贷,阿米巴资本，PartnerAngel伙伴创投戴志康,1000万人民币,天使投资,2014-05-31,http://if.pedaily.cn/invest/50006423.shtml
向上360/证大向上网络,国泰创投,N/A,A轮,2014-05-31,http://if.pedaily.cn/invest/50006391.shtml
易贷网,软银中国/软银集团,N/A,A轮,2014-05-29,http://if.pedaily.cn/invest/50006326.shtml
摩点网/摩点众筹,触控科技、真格基金、华谊兄弟,1000万人民币,天使投资,2014-05-22,http://if.pedaily.cn/invest/50006094.shtml
金融港/滚雪球财富,红杉资本中国,1000万美元,A轮,2014-05-21,http://if.pedaily.cn/invest/50006327.shtml
维金Vfinance,IDG资本,N/A,A轮,2014-05-01,http://if.pedaily.cn/invest/50006344.shtml
金斧子,红杉资本中国,1000万美元,A轮,2014-05-01,http://if.pedaily.cn/invest/50006306.shtml
桔子理财,险峰华兴,N/A,天使投资,2014-05-01,http://if.pedaily.cn/invest/50006424.shtml
365金融/世袭投资,未公开,1500万美元,A轮,2014-05-01,http://if.pedaily.cn/invest/50006412.shtml
比特帮,国富源投资,100万人民币,天使投资,2014-05-01,http://if.pedaily.cn/invest/50006043.shtml
天使客,德迅投资/曾李青,N/A,天使投资,2014-04-24,http://if.pedaily.cn/invest/50006095.shtml
VCHello微投网,易一天使,N/A,天使投资,2014-04-16,http://if.pedaily.cn/invest/50006411.shtml
Silvrr豆子科技,IDG资本,N/A,天使投资,2014-04-12,http://if.pedaily.cn/invest/50006433.shtml
有人贷/安信卓越,未公开,N/A,A轮,2014-04-01,http://if.pedaily.cn/invest/50006426.shtml
钱先生,盛大资本/盛大,1000万人民币,A轮,2014-04-01,http://if.pedaily.cn/invest/50006304.shtml
金融一号店/投融有道,东软集团Neusoft,1000万人民币,A轮,2014-04-01,http://if.pedaily.cn/invest/50006328.shtml
恒生电子,浙江融信马云,329939万人民币,并购,2014-04-01,http://if.pedaily.cn/invest/50006041.shtml
钱景财富,盛大资本/华山投资,N/A,A轮,2014-04-01,http://if.pedaily.cn/invest/50006021.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

e乐充,未公开,2000万人民币,A轮,2014-03-31,http://if.pedaily.cn/invest/50006354.shtml
币丰港/币丰支付,IDG资本,N/A,A轮,2014-03-31,http://if.pedaily.cn/invest/50006428.shtml
趣分期,梅花天使创投/吴世春,N/A,天使投资,2014-03-30,http://if.pedaily.cn/invest/50006027.shtml
OKcoin比特币/北京乐酷达,联创策源、荷多、乐搏资本等,1000万美元,A轮,2014-03-18,http://if.pedaily.cn/invest/50006084.shtml
联拓金融,联想之星,100万人民币,天使投资,2014-03-11,http://if.pedaily.cn/invest/50006105.shtml
火币网,红杉资本中国,1000万美元,A轮,2014-03-07,http://if.pedaily.cn/invest/50006034.shtml
真格贷/中融国金,中科招商,500万人民币,A轮,2014-03-07,http://if.pedaily.cn/invest/50006329.shtml
一路财富,国泰创投,1000万人民币,A轮,2014-03-05,http://if.pedaily.cn/invest/50006033.shtml
币付宝,BitFund.PE李笑来,N/A,天使投资,2014-03-01,http://if.pedaily.cn/invest/50006085.shtml
意时网,国泰君安力鼎,2500万人民币,天使投资,2014-03-01,http://if.pedaily.cn/invest/50006012.shtml
融卡科技,创业邦天使基金,N/A,天使投资,2014-03-01,http://if.pedaily.cn/invest/50006355.shtml
Mybank迈伴客,未公开,1000万人民币,天使投资,2014-03-01,http://if.pedaily.cn/invest/50006422.shtml
订单保/华甫达,真格基金,N/A,天使投资,2014-03-01,http://if.pedaily.cn/invest/50006425.shtml
账贷通/联拓金融,联想之星,N/A,天使投资,2014-03-01,http://if.pedaily.cn/invest/50006417.shtml
钱程网,未公开,N/A,天使投资,2014-03-01,http://if.pedaily.cn/invest/50006418.shtml
乐钱,未公开,N/A,天使投资,2014-03-01,http://if.pedaily.cn/invest/50006419.shtml
钱方,未公开,10000万人民币,B轮,2014-02-27,http://if.pedaily.cn/invest/50006321.shtml
大家投,不公开的投资者,300万人民币,A轮,2014-02-27,http://if.pedaily.cn/invest/50006018.shtml
积木盒子,银泰资本Ventech,1000万美元,A轮,2014-02-24,http://if.pedaily.cn/invest/50006349.shtml
钱小二,未公开,100万人民币,天使投资,2014-02-12,http://if.pedaily.cn/invest/50006330.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

融百科/上海沪谯金融,未公开,N/A,天使投资,2014-02-01,http://if.pedaily.cn/invest/50006336.shtml
小蚁BitAngelsClub,PreAngel/PA镭厉/PA鉴睿,N/A,天使投资,2014-02-01,http://if.pedaily.cn/invest/50006420.shtml
网融天下,未公开,N/A,天使投资,2014-02-01,http://if.pedaily.cn/invest/50006415.shtml
前隆金融,清科创投/恩惟资本,N/A,天使投资,2014-02-01,http://if.pedaily.cn/invest/50006015.shtml
牛股王,险峰华兴,N/A,天使投资,2014-02-01,http://if.pedaily.cn/invest/50006049.shtml
网利金融,IDG资本,1000万美元,A轮,2014-02-01,http://if.pedaily.cn/invest/50006050.shtml
Formax福亿,IDG资本/华创资本,N/A,A轮,2014-01-31,http://if.pedaily.cn/invest/50006054.shtml
中国量化投资网,华创资本,N/A,天使投资,2014-01-30,http://if.pedaily.cn/invest/50006427.shtml
顺付卡,PreAngel/荷多,150万人民币,天使投资,2014-01-07,http://if.pedaily.cn/invest/50006028.shtml
钜派投资,新浪微博基金/景林投资,N/A,B轮,2014-01-01,http://if.pedaily.cn/invest/50006056.shtml
掌上汇通,IDG资本/险峰华兴,15000万人民币,A轮,2014-01-01,http://if.pedaily.cn/invest/50006058.shtml
东方睿赢,不公开的投资者,N/A,A轮,2014-01-01,http://if.pedaily.cn/invest/50006051.shtml
汇众财富,不公开的投资者,N/A,天使投资,2014-01-01,http://if.pedaily.cn/invest/50006052.shtml
锐博汇通,IDG资本,200万美元,A轮,2014-01-01,http://if.pedaily.cn/invest/50006086.shtml
AngelCrunch天使汇,天津国有PE,N/A,A轮,2014-01-01,http://if.pedaily.cn/invest/50006096.shtml
恩牛网络,SIG海纳亚洲/清流资本,1500万美元,A轮,2014-01-01,http://if.pedaily.cn/invest/50006066.shtml
乐童音乐,不公开的投资者,100万人民币,天使投资,2014-01-01,http://if.pedaily.cn/invest/50006020.shtml
宽谷奥立安,北京中海投资,N/A,天使投资,2014-01-01,http://if.pedaily.cn/invest/50006106.shtml
安硕信息Amarsoft,未透露的投资人,N/A,上市,2014-01-01,http://if.pedaily.cn/invest/50006107.shtml
爱投资/安投融,中援应急,N/A,A轮,2014-01-01,http://if.pedaily.cn/invest/50006099.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

点心贷/点心科技,NextBig三万弘合投资/3W创业基金,N/A,天使投资,2014-01-01,http://if.pedaily.cn/invest/50006421.shtml
鑫银国际,红杉资本中国,N/A,A轮,2014-01-01,http://if.pedaily.cn/invest/50006404.shtml
财富说/财富达人网络,未公开,N/A,天使投资,2014-01-01,http://if.pedaily.cn/invest/50006407.shtml
