融资方,投资机构,融资金额,轮次,投资时间,Url
超交易,联想控股，太冠资本，耀途资本,N/A,A轮,2016-01-08,http://if.pedaily.cn/invest/50006534.shtml
穗金所,瑞财基金,N/A,A轮,2016-01-08,http://if.pedaily.cn/invest/50006535.shtml
陆金所,腾讯,90000万美元,B轮,2016-01-08,http://if.pedaily.cn/invest/50006531.shtml
玖融网,天鸽互动,5000万人民币,A轮,2016-01-08,http://if.pedaily.cn/invest/50006527.shtml
趣分期,未公开,N/A,E轮,2016-01-06,http://if.pedaily.cn/invest/50006528.shtml
烧饼猫,未公开,500万人民币,天使投资,2016-01-06,http://if.pedaily.cn/invest/50006529.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

米多财富,卫星石化,N/A,B轮,2016-01-04,http://if.pedaily.cn/invest/50006530.shtml
PingPlusPlus拼谱啦,宽带资本CBC，盛景网联，红杉资本中国，线性资本LinearVenture,1000万美元,B轮,2016-01-04,http://if.pedaily.cn/invest/50006523.shtml
金评媒,无穹创投,5000万人民币,A轮,2015-12-29,http://if.pedaily.cn/invest/50006524.shtml
微金所,海航资本,30000万人民币,A轮,2015-12-29,http://if.pedaily.cn/invest/50006526.shtml
君融贷,春晓资本,10000万人民币,A轮,2015-12-29,http://if.pedaily.cn/invest/50006536.shtml
小鹅e贷,鹏涛资产,1600万人民币,A轮,2015-12-29,http://if.pedaily.cn/invest/50006521.shtml
人人理财师,陶石资本,N/A,天使投资,2015-12-29,http://if.pedaily.cn/invest/50006522.shtml
小雨伞保险,红杉资本中国，信天创投,N/A,A轮,2015-12-28,http://if.pedaily.cn/invest/50006520.shtml
51理财,同系资本,N/A,A轮,2015-12-27,http://if.pedaily.cn/invest/50006539.shtml
车爱保,德沃创业/德沃基金，梅花天使创投,N/A,天使投资,2015-12-25,http://if.pedaily.cn/invest/50006525.shtml
易宝金融,天鑫洋金业，沃石投资，国泰创投,2000万美元,B轮,2015-12-25,http://if.pedaily.cn/invest/50006512.shtml
考拉理财,伯藜创投,2000万人民币,A轮,2015-12-23,http://if.pedaily.cn/invest/50006513.shtml
铜掌柜,浙银资本,3500万人民币,A轮,2015-12-21,http://if.pedaily.cn/invest/50006514.shtml
玖富咨询,戈壁投资,N/A,天使投资,2015-12-21,http://if.pedaily.cn/invest/50006515.shtml
宜人贷,未公开,N/A,上市,2015-12-18,http://if.pedaily.cn/invest/50006517.shtml
宜人贷,百度,1000万美元,F轮,2015-12-17,http://if.pedaily.cn/invest/50006516.shtml
房金所,未公开,5000万人民币,pre-A轮,2015-12-16,http://if.pedaily.cn/invest/50006518.shtml
八条鱼,天津津报金控,N/A,A轮,2015-12-15,http://if.pedaily.cn/invest/50006509.shtml
票交网,江南春、易欢欢,1000万人民币,天使投资,2015-12-15,http://if.pedaily.cn/invest/50006511.shtml
大数金融,太盟投资集团(PAG)，红杉资本中国,50000万人民币,B轮,2015-12-14,http://if.pedaily.cn/invest/50006510.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

凤凰金融,中信资本，国科嘉和，东方资产,8000万美元,A轮,2015-12-12,http://if.pedaily.cn/invest/50006507.shtml
紫晶通财基金,Tiger老虎基金(中国),6000万美元,A轮,2015-12-10,http://if.pedaily.cn/invest/50006506.shtml
中国邮政储蓄银行,JPMorgan摩根大通，Temasek淡马锡/兰亭投资，蚂蚁金服-阿里巴巴，腾讯,4510000万人民币,并购,2015-12-09,http://if.pedaily.cn/invest/50006505.shtml
大乔易贷,嘉烨地产、太极集团,6000万人民币,并购,2015-12-08,http://if.pedaily.cn/invest/50006501.shtml
恒信易贷,珠南集团,10000万人民币,A轮,2015-12-08,http://if.pedaily.cn/invest/50006502.shtml
点石微投行,未公开,N/A,天使投资,2015-12-08,http://if.pedaily.cn/invest/50006503.shtml
淘梦网,未公开,N/A,A轮,2015-12-08,http://if.pedaily.cn/invest/50006504.shtml
PPmoney,未公开,18900万人民币,上市,2015-12-07,http://if.pedaily.cn/invest/50006500.shtml
润客投资,春泉创投,1600万人民币,pre-A轮,2015-12-03,http://if.pedaily.cn/invest/50006508.shtml
赚赚金融,未公开,N/A,天使投资,2015-11-29,http://if.pedaily.cn/invest/50006430.shtml
维信理财,永宣联创,N/A,B轮,2015-11-26,http://if.pedaily.cn/invest/50006396.shtml
钱升钱,元璟资本-吴泳铭,N/A,B轮,2015-11-26,http://if.pedaily.cn/invest/50006405.shtml
玺喜网(玺鉴金融),中沃投资,N/A,天使投资,2015-11-25,http://if.pedaily.cn/invest/50006431.shtml
大麦理财,未公开,N/A,B轮,2015-11-24,http://if.pedaily.cn/invest/50006363.shtml
公明贷,未公开,N/A,A轮,2015-11-23,http://if.pedaily.cn/invest/50006313.shtml
分金社,京北投资-京北天使,N/A,天使投资,2015-11-23,http://if.pedaily.cn/invest/50006314.shtml
